classification_id,user_name,user_id,workflow_id,task,created_at,subject_id,extractor,data.no-there-are-no-jets-in-this-image-sequence,data.aggregation_version,data.yes-there-is-at-least-one-jet-in-this-image-sequence
341829086,Zofia,248953.0,18563,T0,2021-06-19 16:41:04 UTC,62835798,question_extractor,1.0,3.6.0,
341829119,Zofia,248953.0,18563,T0,2021-06-19 16:41:16 UTC,62832682,question_extractor,1.0,3.6.0,
341829147,Zofia,248953.0,18563,T0,2021-06-19 16:41:25 UTC,62832812,question_extractor,1.0,3.6.0,
341829214,Zofia,248953.0,18563,T0,2021-06-19 16:41:50 UTC,62835401,question_extractor,1.0,3.6.0,
341829238,Zofia,248953.0,18563,T0,2021-06-19 16:42:03 UTC,62832963,question_extractor,1.0,3.6.0,
341829269,Zofia,248953.0,18563,T0,2021-06-19 16:42:20 UTC,62833652,question_extractor,,3.6.0,1.0
341829297,Zofia,248953.0,18563,T0,2021-06-19 16:42:36 UTC,62833796,question_extractor,,3.6.0,1.0
341829340,Zofia,248953.0,18563,T0,2021-06-19 16:42:58 UTC,62833779,question_extractor,,3.6.0,1.0
341829379,Zofia,248953.0,18563,T0,2021-06-19 16:43:14 UTC,62832767,question_extractor,1.0,3.6.0,
341829485,Zofia,248953.0,18563,T0,2021-06-19 16:43:50 UTC,62833172,question_extractor,1.0,3.6.0,
341829519,Zofia,248953.0,18563,T0,2021-06-19 16:44:03 UTC,62833797,question_extractor,,3.6.0,1.0
341829574,Zofia,248953.0,18563,T0,2021-06-19 16:44:27 UTC,62835106,question_extractor,1.0,3.6.0,
341829604,Zofia,248953.0,18563,T0,2021-06-19 16:44:37 UTC,62833770,question_extractor,,3.6.0,1.0
341829722,Zofia,248953.0,18563,T0,2021-06-19 16:45:09 UTC,62835843,question_extractor,1.0,3.6.0,
341829744,Zofia,248953.0,18563,T0,2021-06-19 16:45:15 UTC,62833012,question_extractor,1.0,3.6.0,
341829792,Zofia,248953.0,18563,T0,2021-06-19 16:45:28 UTC,62834049,question_extractor,1.0,3.6.0,
341829837,Zofia,248953.0,18563,T0,2021-06-19 16:45:41 UTC,62835599,question_extractor,1.0,3.6.0,
341829906,Zofia,248953.0,18563,T0,2021-06-19 16:46:02 UTC,62835358,question_extractor,1.0,3.6.0,
341829933,Zofia,248953.0,18563,T0,2021-06-19 16:46:14 UTC,62833768,question_extractor,,3.6.0,1.0
341829980,Zofia,248953.0,18563,T0,2021-06-19 16:46:30 UTC,62835459,question_extractor,1.0,3.6.0,
341830005,Zofia,248953.0,18563,T0,2021-06-19 16:46:38 UTC,62832886,question_extractor,1.0,3.6.0,
341830032,Zofia,248953.0,18563,T0,2021-06-19 16:46:46 UTC,62835319,question_extractor,,3.6.0,1.0
341830053,Zofia,248953.0,18563,T0,2021-06-19 16:46:54 UTC,62835504,question_extractor,1.0,3.6.0,
341830072,Zofia,248953.0,18563,T0,2021-06-19 16:47:03 UTC,62832782,question_extractor,1.0,3.6.0,
341830100,Zofia,248953.0,18563,T0,2021-06-19 16:47:14 UTC,62834998,question_extractor,1.0,3.6.0,
341830134,Zofia,248953.0,18563,T0,2021-06-19 16:47:26 UTC,62833826,question_extractor,1.0,3.6.0,
341830220,Zofia,248953.0,18563,T0,2021-06-19 16:48:00 UTC,62833468,question_extractor,1.0,3.6.0,
